id,time_utc,time_dk,price_area,total_load,total_wind,wind_offshore,wind_onshore,solar,exchange_continent,exchange_great_belt,exchange_nordic,exchange_gb,net_exchange,created_at
99660214237547,2026-01-06 11:00:00,2026-01-06 12:00:00,DK1,3782.18,909.21,495.16,414.05,75.32,-94.45,-50.17,470.75,42.69,368.82,2026-08-30 08:43:55.856423
127449375884382,2026-01-06 09:15:00,2026-01-06 10:15:00,DK1,3847.2,853.44,477.2,376.24,42.97,46.22,-75.54,523.14,-67.53,426.29,2026-08-30 08:43:55.856423
977896631493737,2026-01-06 05:15:00,2026-01-06 06:15:00,DK1,3368.85,324.66998,184.65,140.02,0.04,-13.23,-63.73,427.3,264.39,614.73,2026-08-30 08:43:55.856423
132435794996255,2026-01-06 04:15:00,2026-01-06 05:15:00,DK1,3009.97,216.05,76.12,139.93,0.05,43.22,21.44,345.85,161.31,571.82,2026-08-30 08:43:55.856423
448096527923581,2026-01-06 00:15:00,2026-01-06 01:15:00,DK1,3247.25,402.97,75.97,327.0,1.53,97.68,-89.32,420.5,172.59,601.45,2026-08-30 08:43:55.856423
282953290020150,2026-01-05 23:45:00,2026-01-06 00:45:00,DK1,3285.91,406.63,100.51,306.12,1.62,61.47,-77.86,438.49,177.48,599.57996,2026-08-30 08:43:55.856423
266884255468125,2026-01-05 18:30:00,2026-01-05 19:30:00,DK1,3575.35,914.6,462.27,452.33,1.8,-26.87,-71.21,190.5,288.52,380.94,2026-08-30 08:43:55.856423
141082434875367,2026-01-05 15:15:00,2026-01-05 16:15:00,DK1,3773.53,1154.08,545.63,608.45,2.67,388.08,-94.25,-206.07,288.33,376.08997,2026-08-30 08:43:55.856423
634511152972233,2026-01-05 14:15:00,2026-01-05 15:15:00,DK1,3667.91,996.01,438.76,557.25,18.97,182.82,-94.42,-18.53,281.89,351.76,2026-08-30 08:43:55.856423
724633780317540,2026-01-05 13:45:00,2026-01-05 14:45:00,DK1,,0.0,,,,33.84,-63.2,115.65,280.59,366.88,2026-08-30 08:43:55.856423
295587658095020,2026-01-05 05:45:00,2026-01-05 06:45:00,DK1,3439.07,1152.9701,541.77,611.2,2.41,-397.61,-31.84,494.84,282.16,347.55002,2026-08-30 08:43:55.856423
719602280061908,2026-01-05 02:45:00,2026-01-05 03:45:00,DK1,2989.49,995.85,547.57,448.28,0.38,-150.77,-13.5,419.47,144.18,399.38,2026-08-30 08:43:55.856423
18376373295641,2026-01-05 01:45:00,2026-01-05 02:45:00,DK1,3113.0,853.92,471.5,382.42,1.13,41.48,17.92,313.87,97.06,470.33,2026-08-30 08:43:55.856423
871511477498345,2026-01-05 01:30:00,2026-01-05 02:30:00,DK1,3136.57,830.36,459.53,370.83,0.58,7.72,32.4,329.24,109.93,479.28998,2026-08-30 08:43:55.856423
554297018528304,2026-01-04 22:15:00,2026-01-04 23:15:00,DK1,2930.88,707.83997,528.75,179.09,0.08,55.58,21.18,225.83,122.03,424.62,2026-08-30 08:43:55.856423
112056264989958,2026-01-04 20:30:00,2026-01-04 21:30:00,DK1,3050.37,554.37,415.34,139.03,0.11,208.46,72.05,208.23,-105.82,382.92,2026-08-30 08:43:55.856423
784564035024516,2026-01-04 16:00:00,2026-01-04 17:00:00,DK1,3501.6,206.74,50.05,156.69,0.0,379.58,60.0,148.88,0.03,588.49,2026-08-30 08:43:55.856423
232611568571119,2026-01-04 00:00:00,2026-01-04 01:00:00,DK1,2947.21,1106.33,522.0,584.33,0.0,-275.87,150.47,612.7,-199.75,287.55002,2026-08-30 08:43:55.856423
831139141614352,2026-01-03 23:00:00,2026-01-04 00:00:00,DK1,2930.15,1463.33,793.07,670.26,1.59,-314.8,110.37,587.62,-175.03,208.16,2026-08-30 08:43:55.856423
825345501945442,2026-01-03 22:00:00,2026-01-03 23:00:00,DK1,2883.39,1596.1599,859.18,736.98,1.92,-133.39,38.84,517.1,-329.8,92.74999,2026-08-30 08:43:55.856423
69413674905913,2026-01-03 11:30:00,2026-01-03 12:30:00,DK1,3162.83,508.34,248.9,259.44,242.35,-180.44,155.09,500.75,-102.86,372.53998,2026-08-30 08:43:55.856423
191649633812555,2026-01-03 09:45:00,2026-01-03 10:45:00,DK1,3117.36,583.65,273.15,310.5,281.06,-217.33,111.37,570.66,-130.82,333.87997,2026-08-30 08:43:55.856423
220570938617670,2026-01-03 08:30:00,2026-01-03 09:30:00,DK1,3092.45,766.28,386.54,379.74,49.64,-309.03,135.76,564.3,-46.86,344.16998,2026-08-30 08:43:55.856423
551390592782978,2026-01-03 07:00:00,2026-01-03 08:00:00,DK1,2912.64,883.6,442.2,441.4,0.96,-372.86,157.26,552.12,-13.94,322.58002,2026-08-30 08:43:55.856423
845297620778667,2026-01-03 02:45:00,2026-01-03 03:45:00,DK1,2803.24,1979.94,1143.0,836.94,1.35,59.6,121.82,65.83,-188.0,59.25,2026-08-30 08:43:55.856423
852383766299798,2026-01-03 02:15:00,2026-01-03 03:15:00,DK1,2845.27,1995.9701,1161.76,834.21,2.27,78.45,133.61,31.37,-226.96,16.469992,2026-08-30 08:43:55.856423
29754218670398,2026-01-03 01:45:00,2026-01-03 02:45:00,DK1,2855.22,1935.1,1088.4,846.7,2.9,18.84,122.85,135.43,-236.89,40.229992,2026-08-30 08:43:55.856423
928460646225732,2026-01-02 20:00:00,2026-01-02 21:00:00,DK1,3053.8,3008.5999,1506.32,1502.28,4.15,-175.68,-15.97,420.07,-381.83,-153.40997,2026-08-30 08:43:55.856423
649569574026381,2026-01-02 19:45:00,2026-01-02 20:45:00,DK1,3036.51,3056.78,1493.98,1562.8,5.23,-143.31,-14.37,371.08,-381.83,-168.43,2026-08-30 08:43:55.856423
948181931857624,2026-01-02 09:00:00,2026-01-02 10:00:00,DK1,3229.69,2356.38,1307.44,1048.94,99.24,313.58,125.54,-131.35,-262.12,45.649986,2026-08-30 08:43:55.856423
863661531809285,2026-01-02 06:45:00,2026-01-02 07:45:00,DK1,2925.78,2429.94,1464.47,965.47,4.0,376.54,154.27,-218.89,-245.11,66.81001,2026-08-30 08:43:55.856423
112943022936525,2026-01-02 01:30:00,2026-01-02 02:30:00,DK1,2591.71,2454.03,1086.11,1367.92,3.36,351.96,157.56,-196.25,-204.35,108.91998,2026-08-30 08:43:55.856423
95903066700361,2026-01-01 13:30:00,2026-01-01 14:30:00,DK1,3060.91,3636.7798,1395.12,2241.66,104.0,280.18,87.14,-167.41,-262.13,-62.220016,2026-08-30 08:43:55.856423
304587829200953,2026-01-01 13:15:00,2026-01-01 14:15:00,DK1,3054.44,3742.9897,1416.57,2326.42,144.23,344.75,48.73,-118.17,-262.13,13.179997,2026-08-30 08:43:55.856423
612382300407106,2026-01-01 09:15:00,2026-01-01 10:15:00,DK1,2894.71,3640.05,1419.51,2220.54,118.48,448.92,39.62,-241.34,-262.13,-14.929989,2026-08-30 08:43:55.856423
8175136675888,2026-01-01 02:30:00,2026-01-01 03:30:00,DK1,2721.95,4194.6104,1432.02,2762.59,11.48,288.78,74.88,-274.64,-262.4,-173.38002,2026-08-30 08:43:55.856423
792093378310323,2025-12-31 12:30:00,2025-12-31 13:30:00,DK1,2848.26,1794.25,1113.82,680.43,463.94,330.35,-26.68,-61.51,-247.28,-5.119991,2026-08-30 08:43:55.856423
951772126926934,2025-12-31 00:30:00,2025-12-31 01:30:00,DK1,2770.13,3002.39,1402.61,1599.78,7.68,-286.32,118.14,339.18,-381.77,-210.77,2026-08-30 08:43:55.856423
194312736965618,2025-12-30 19:00:00,2025-12-30 20:00:00,DK1,3055.87,1646.3201,1115.29,531.03,12.96,-377.72,157.09,566.41,-251.56,94.21997,2026-08-30 08:43:55.856423
