quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-08-31 00:00,2026-08-30 22:00,188.16,188.16,184.72,208.15,198.72,201.77,195.44,1458.0,247.39,51.95,BUY Spot,Settled
Q2,2026-08-31 00:15,2026-08-30 22:15,174.58,174.59,171.3,194.57,201.26,194.1,185.64,1384.85,174.58,11.06,BUY Spot,Settled
Q3,2026-08-31 00:30,2026-08-30 22:30,169.06,169.08,165.96,189.05,195.74,190.5,180.52,1346.66,267.6,87.08,BUY Spot,Settled
Q4,2026-08-31 00:45,2026-08-30 22:45,165.06,165.08,162.06,185.05,191.74,185.39,176.33,1315.42,173.99,2.34,BUY Spot,Settled
Q5,2026-08-31 01:00,2026-08-30 23:00,168.39,168.39,165.39,188.38,169.72,174.53,172.86,1289.56,168.39,4.47,BUY Spot,Settled
Q6,2026-08-31 01:15,2026-08-30 23:15,164.24,164.25,161.23,184.23,165.57,170.92,168.82,1259.36,164.24,4.58,BUY Spot,Settled
Q7,2026-08-31 01:30,2026-08-30 23:30,158.7,158.72,155.76,178.69,160.03,169.67,164.09,1224.15,158.7,5.39,BUY Spot,Settled
Q8,2026-08-31 01:45,2026-08-30 23:45,156.67,156.67,153.79,176.66,158.0,168.36,162.21,1210.08,156.67,5.54,BUY Spot,Settled
Q9,2026-08-31 02:00,2026-08-31 00:00,163.14,163.14,160.33,183.13,164.47,168.32,167.48,1249.38,148.83,18.65,BUY Spot,Settled
Q10,2026-08-31 02:15,2026-08-31 00:15,152.12,152.11,149.34,172.11,153.45,157.17,156.44,1167.03,152.12,4.32,BUY Spot,Settled
Q11,2026-08-31 02:30,2026-08-31 00:30,146.44,146.44,143.66,166.43,147.77,152.84,151.01,1126.56,180.9,29.89,BUY Spot,Settled
Q12,2026-08-31 02:45,2026-08-31 00:45,143.51,143.51,140.71,163.5,144.84,156.36,149.28,1113.66,152.17,2.89,BUY Spot,Settled
Q13,2026-08-31 03:00,2026-08-31 01:00,149.16,149.19,146.37,169.15,150.49,163.16,155.16,1157.48,162.11,6.95,BUY Spot,Settled
