quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,error_spread_eur,agent_action,status
Q1,2026-09-21 00:00,2026-09-20 22:00,11.39,11.36,12.85,-4.13,-10.18,-8.78,0.73,5.43,3.7,2.97,SELL Spot,Settled
Q2,2026-09-21 00:15,2026-09-20 22:15,13.14,13.11,14.64,-2.38,-8.43,-6.93,2.5,18.67,6.0,3.5,SELL Spot,Settled
Q3,2026-09-21 00:30,2026-09-20 22:30,10.46,10.52,11.91,-5.06,-11.11,-9.71,-0.19,-1.39,52.8,52.99,SELL Spot,Settled
Q4,2026-09-21 00:45,2026-09-20 22:45,8.88,8.84,10.41,-6.64,-12.69,-11.19,-1.75,-13.08,59.0,60.75,SELL Spot,Settled
Q5,2026-09-21 01:00,2026-09-20 23:00,10.12,10.04,11.49,-5.4,-11.45,-9.47,-0.46,-3.47,65.0,65.46,SELL Spot,Settled
Q6,2026-09-21 01:15,2026-09-20 23:15,9.71,9.73,11.14,-5.81,-11.86,-10.55,-0.97,-7.22,65.0,65.97,SELL Spot,Settled
Q7,2026-09-21 01:30,2026-09-20 23:30,10.01,9.99,11.43,-5.51,-11.56,-9.62,-0.56,-4.16,73.0,73.56,SELL Spot,Settled
Q8,2026-09-21 01:45,2026-09-20 23:45,9.7,9.69,11.2,-5.82,-11.87,-10.47,-0.95,-7.09,70.7,71.65,SELL Spot,Settled
Q9,2026-09-21 02:00,2026-09-21 00:00,8.3,8.29,9.85,-7.22,-13.27,-11.87,-2.34,-17.45,8.3,10.64,SELL Spot,Settled
Q10,2026-09-21 02:15,2026-09-21 00:15,7.51,7.51,7.52,-8.01,-14.06,-12.42,-3.41,-25.45,77.39,80.8,SELL Spot,Settled
Q11,2026-09-21 02:30,2026-09-21 00:30,9.7,9.71,9.71,-5.82,-11.87,-10.79,-1.32,-9.88,267.6,268.92,SELL Spot,Settled
Q12,2026-09-21 02:45,2026-09-21 00:45,9.82,9.82,9.83,-5.7,-11.75,-10.67,-1.21,-9.01,80.0,81.21,SELL Spot,Settled
Q13,2026-09-21 03:00,2026-09-21 01:00,9.41,9.45,9.48,-6.11,-12.16,-11.08,-1.6,-11.91,123.1,124.7,SELL Spot,Settled
Q14,2026-09-21 03:15,2026-09-21 01:15,9.71,9.72,9.82,-5.81,-11.86,-10.78,-1.29,-9.65,131.2,132.49,SELL Spot,Settled
Q15,2026-09-21 03:30,2026-09-21 01:30,10.1,10.09,10.24,-5.42,-11.47,-10.39,-0.9,-6.73,67.76,68.66,SELL Spot,Settled
Q16,2026-09-21 03:45,2026-09-21 01:45,10.51,10.45,10.62,-5.01,-11.06,-9.98,-0.51,-3.79,10.51,11.02,SELL Spot,Settled
Q17,2026-09-21 04:00,2026-09-21 02:00,7.87,7.9,8.01,-7.65,-13.7,-12.62,-3.12,-23.3,7.87,10.99,SELL Spot,Settled
Q18,2026-09-21 04:15,2026-09-21 02:15,9.71,9.72,9.89,-5.81,-11.86,-10.22,-1.17,-8.75,3.0,4.17,SELL Spot,Settled
Q19,2026-09-21 04:30,2026-09-21 02:30,15.41,15.44,15.57,-0.11,-6.16,-4.86,4.46,33.3,-88.12,92.58,SELL Spot,Settled
Q20,2026-09-21 04:45,2026-09-21 02:45,21.03,21.04,21.09,5.51,8.57,4.83,12.58,93.86,3.52,9.06,SELL Spot,Settled
Q21,2026-09-21 05:00,2026-09-21 03:00,15.2,15.18,15.32,-0.32,5.26,1.36,7.69,57.36,-5.82,13.51,SELL Spot,Settled
Q22,2026-09-21 05:15,2026-09-21 03:15,24.19,24.21,24.6,8.67,2.62,4.31,13.37,99.73,-1.77,15.14,SELL Spot,Settled
Q23,2026-09-21 05:30,2026-09-21 03:30,32.96,32.94,33.04,17.44,23.02,20.84,25.77,192.22,0.34,25.43,SELL Spot,Settled
Q24,2026-09-21 05:45,2026-09-21 03:45,49.98,49.97,50.07,34.46,40.04,39.68,43.14,321.81,14.6,28.54,SELL Spot,Settled
Q25,2026-09-21 06:00,2026-09-21 04:00,58.01,58.04,57.95,42.49,55.68,48.44,52.75,393.49,-18.6,71.35,SELL Spot,Settled
Q26,2026-09-21 06:15,2026-09-21 04:15,90.29,90.29,90.6,74.77,87.96,81.23,85.19,635.54,-46.62,131.81,SELL Spot,Settled
Q27,2026-09-21 06:30,2026-09-21 04:30,107.0,107.02,106.92,91.48,104.67,97.94,101.82,759.61,-43.57,145.39,SELL Spot,Settled
Q28,2026-09-21 06:45,2026-09-21 04:45,114.3,114.31,114.58,98.78,111.97,105.24,109.2,814.63,-31.23,140.43,SELL Spot,Settled
Q29,2026-09-21 07:00,2026-09-21 05:00,123.5,123.54,123.83,107.98,121.17,114.44,118.42,883.38,123.5,5.08,SELL Spot,Settled
Q30,2026-09-21 07:15,2026-09-21 05:15,118.28,118.27,118.55,102.76,115.95,109.22,113.17,844.28,118.28,5.11,SELL Spot,Settled
Q31,2026-09-21 07:30,2026-09-21 05:30,118.53,118.52,118.83,103.01,104.52,99.36,109.27,815.14,118.53,9.26,SELL Spot,Settled
Q32,2026-09-21 07:45,2026-09-21 05:45,128.7,128.69,128.75,113.18,117.26,110.09,119.98,895.08,128.7,8.72,SELL Spot,Settled
Q33,2026-09-21 08:00,2026-09-21 06:00,139.31,139.3,139.11,123.79,136.98,130.6,134.17,1000.92,487.67,353.5,SELL Spot,Settled
Q34,2026-09-21 08:15,2026-09-21 06:15,149.41,149.45,149.19,133.89,147.08,140.35,144.21,1075.81,377.14,232.93,SELL Spot,Settled
