quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-21 00:00,14.9,29.27,14.37,-12.03,124.36,€-12.0 - €124.4,24.1% Up / 51.0% Dn,BUY Spot (Long),19.9,2.2,Fixed Pre-Auction Bid
Q2,2026-09-21 00:15,14.55,27.88,13.33,-31.98,108.95,€-32.0 - €109.0,22.2% Up / 57.6% Dn,BUY Spot (Long),19.55,1.6,Fixed Pre-Auction Bid
Q3,2026-09-21 00:30,11.18,34.26,23.08,-27.16,138.94,€-27.2 - €138.9,24.2% Up / 50.9% Dn,BUY Spot (Long),16.18,2.2,Fixed Pre-Auction Bid
Q4,2026-09-21 00:45,10.0,40.21,30.21,-26.42,148.78,€-26.4 - €148.8,25.0% Up / 46.1% Dn,BUY Spot (Long),15.0,2.4,Fixed Pre-Auction Bid
Q5,2026-09-21 01:00,10.3,36.38,26.08,-26.24,212.71,€-26.2 - €212.7,22.6% Up / 47.6% Dn,BUY Spot (Long),15.3,1.7,Fixed Pre-Auction Bid
Q6,2026-09-21 01:15,9.99,28.61,18.62,-23.22,191.23,€-23.2 - €191.2,22.6% Up / 44.2% Dn,BUY Spot (Long),14.99,1.7,Fixed Pre-Auction Bid
Q7,2026-09-21 01:30,10.3,26.4,16.1,-27.35,197.6,€-27.4 - €197.6,23.7% Up / 46.5% Dn,BUY Spot (Long),15.3,2.0,Fixed Pre-Auction Bid
Q8,2026-09-21 01:45,9.99,26.5,16.51,-24.79,199.36,€-24.8 - €199.4,24.9% Up / 47.2% Dn,BUY Spot (Long),14.99,2.4,Fixed Pre-Auction Bid
Q9,2026-09-21 02:00,8.54,28.37,19.83,-23.75,163.05,€-23.8 - €163.1,26.3% Up / 43.7% Dn,BUY Spot (Long),13.54,2.8,Fixed Pre-Auction Bid
Q10,2026-09-21 02:15,7.73,28.84,21.11,-35.87,172.43,€-35.9 - €172.4,24.5% Up / 46.2% Dn,BUY Spot (Long),12.73,2.3,Fixed Pre-Auction Bid
Q11,2026-09-21 02:30,9.99,14.25,4.26,-24.8,207.76,€-24.8 - €207.8,19.7% Up / 53.1% Dn,BUY Spot (Long),12.12,1.0,Fixed Pre-Auction Bid
Q12,2026-09-21 02:45,10.0,14.05,4.05,-22.84,203.56,€-22.8 - €203.6,19.6% Up / 54.4% Dn,BUY Spot (Long),12.03,1.0,Fixed Pre-Auction Bid
Q13,2026-09-21 03:00,9.79,11.23,1.44,-31.52,157.16,€-31.5 - €157.2,17.6% Up / 57.5% Dn,BUY Spot (Long),10.51,1.0,Fixed Pre-Auction Bid
Q14,2026-09-21 03:15,10.0,9.3,-0.7,-35.27,152.04,€-35.3 - €152.0,16.5% Up / 60.6% Dn,HOLD (No Bid),10.0,0.0,Fixed Pre-Auction Bid
Q15,2026-09-21 03:30,10.4,9.84,-0.56,-32.43,152.99,€-32.4 - €153.0,17.1% Up / 59.7% Dn,HOLD (No Bid),10.4,0.0,Fixed Pre-Auction Bid
Q16,2026-09-21 03:45,10.82,8.53,-2.29,-31.57,146.68,€-31.6 - €146.7,15.6% Up / 60.4% Dn,SELL Spot (Short),9.68,2.5,Fixed Pre-Auction Bid
Q17,2026-09-21 04:00,8.1,16.71,8.61,-29.68,163.61,€-29.7 - €163.6,22.0% Up / 52.2% Dn,BUY Spot (Long),12.4,1.6,Fixed Pre-Auction Bid
