quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q1,2026-09-12 00:00,211.79,483.95,272.16,169.99,350.93,€170.0 - €350.9,21.4% Up / 27.1% Dn,BUY Spot (Long),216.79,4.6,Fixed Pre-Auction Bid
Q2,2026-09-12 00:15,206.22,339.04,132.82,134.56,271.91,€134.6 - €271.9,18.7% Up / 47.0% Dn,BUY Spot (Long),211.22,4.1,Fixed Pre-Auction Bid
Q3,2026-09-12 00:30,203.4,309.2,105.8,131.74,280.69,€131.7 - €280.7,19.5% Up / 44.9% Dn,BUY Spot (Long),208.4,4.3,Fixed Pre-Auction Bid
Q4,2026-09-12 00:45,198.8,292.24,93.44,124.47,267.57,€124.5 - €267.6,19.8% Up / 42.0% Dn,BUY Spot (Long),203.8,4.3,Fixed Pre-Auction Bid
Q5,2026-09-12 01:00,205.87,241.0,35.13,131.43,270.57,€131.4 - €270.6,15.8% Up / 48.4% Dn,BUY Spot (Long),210.87,3.6,Fixed Pre-Auction Bid
Q6,2026-09-12 01:15,199.04,247.77,48.73,123.86,264.06,€123.9 - €264.1,17.9% Up / 46.1% Dn,BUY Spot (Long),204.04,4.0,Fixed Pre-Auction Bid
Q7,2026-09-12 01:30,197.2,226.48,29.28,122.02,265.5,€122.0 - €265.5,20.9% Up / 41.8% Dn,BUY Spot (Long),202.2,4.5,Fixed Pre-Auction Bid
Q8,2026-09-12 01:45,193.99,225.9,31.91,124.19,269.47,€124.2 - €269.5,17.9% Up / 39.6% Dn,BUY Spot (Long),198.99,4.0,Fixed Pre-Auction Bid
Q9,2026-09-12 02:00,197.97,227.04,29.07,123.82,277.51,€123.8 - €277.5,20.8% Up / 44.4% Dn,BUY Spot (Long),202.97,4.5,Fixed Pre-Auction Bid
Q10,2026-09-12 02:15,198.56,227.12,28.56,122.64,269.07,€122.6 - €269.1,17.8% Up / 33.7% Dn,BUY Spot (Long),203.56,3.9,Fixed Pre-Auction Bid
Q11,2026-09-12 02:30,194.99,228.59,33.6,112.79,272.82,€112.8 - €272.8,16.5% Up / 32.4% Dn,BUY Spot (Long),199.99,3.7,Fixed Pre-Auction Bid
Q12,2026-09-12 02:45,193.99,192.76,-1.23,112.48,272.26,€112.5 - €272.3,17.5% Up / 33.0% Dn,SELL Spot (Short),193.38,0.5,Fixed Pre-Auction Bid
Q13,2026-09-12 03:00,190.17,192.49,2.32,107.57,273.64,€107.6 - €273.6,17.3% Up / 41.9% Dn,BUY Spot (Long),191.33,1.1,Fixed Pre-Auction Bid
Q14,2026-09-12 03:15,189.81,194.14,4.33,109.42,275.75,€109.4 - €275.8,19.8% Up / 40.7% Dn,BUY Spot (Long),191.97,2.3,Fixed Pre-Auction Bid
Q15,2026-09-12 03:30,188.59,193.2,4.61,106.84,261.8,€106.8 - €261.8,16.8% Up / 36.0% Dn,BUY Spot (Long),190.9,2.1,Fixed Pre-Auction Bid
Q16,2026-09-12 03:45,188.59,201.82,13.23,107.84,307.34,€107.8 - €307.3,19.3% Up / 33.3% Dn,BUY Spot (Long),193.59,4.2,Fixed Pre-Auction Bid
Q17,2026-09-12 04:00,184.49,184.84,0.35,104.51,229.06,€104.5 - €229.1,15.7% Up / 39.2% Dn,HOLD (No Bid),184.49,0.0,Fixed Pre-Auction Bid
Q18,2026-09-12 04:15,182.43,185.99,3.56,100.29,227.62,€100.3 - €227.6,17.2% Up / 40.5% Dn,BUY Spot (Long),184.21,1.7,Fixed Pre-Auction Bid
Q19,2026-09-12 04:30,184.99,188.08,3.09,102.74,231.36,€102.7 - €231.4,17.5% Up / 40.6% Dn,BUY Spot (Long),186.53,1.4,Fixed Pre-Auction Bid
Q20,2026-09-12 04:45,184.99,193.96,8.97,103.06,245.21,€103.1 - €245.2,17.1% Up / 35.0% Dn,BUY Spot (Long),189.48,3.8,Fixed Pre-Auction Bid
Q21,2026-09-12 05:00,184.49,193.75,9.26,100.18,240.55,€100.2 - €240.6,16.9% Up / 34.4% Dn,BUY Spot (Long),189.12,3.8,Fixed Pre-Auction Bid
Q22,2026-09-12 05:15,185.19,192.87,7.68,105.67,284.68,€105.7 - €284.7,18.7% Up / 29.7% Dn,BUY Spot (Long),189.03,3.9,Fixed Pre-Auction Bid
Q23,2026-09-12 05:30,186.36,187.25,0.89,102.55,237.87,€102.5 - €237.9,15.2% Up / 35.5% Dn,HOLD (No Bid),186.36,0.0,Fixed Pre-Auction Bid
Q24,2026-09-12 05:45,190.73,182.15,-8.58,107.72,224.36,€107.7 - €224.4,14.8% Up / 46.7% Dn,SELL Spot (Short),186.44,9.5,Fixed Pre-Auction Bid
Q25,2026-09-12 06:00,190.14,179.96,-10.18,100.75,222.93,€100.8 - €222.9,15.2% Up / 47.1% Dn,SELL Spot (Short),185.14,9.6,Fixed Pre-Auction Bid
Q26,2026-09-12 06:15,192.74,178.87,-13.87,102.38,224.71,€102.4 - €224.7,15.3% Up / 47.7% Dn,SELL Spot (Short),187.74,9.7,Fixed Pre-Auction Bid
Q27,2026-09-12 06:30,196.79,183.11,-13.68,106.43,226.61,€106.4 - €226.6,15.6% Up / 50.2% Dn,SELL Spot (Short),191.79,10.2,Fixed Pre-Auction Bid
Q28,2026-09-12 06:45,193.06,184.54,-8.52,101.01,220.51,€101.0 - €220.5,14.9% Up / 53.0% Dn,SELL Spot (Short),188.8,10.7,Fixed Pre-Auction Bid
Q29,2026-09-12 07:00,199.87,182.46,-17.41,99.61,219.66,€99.6 - €219.7,14.6% Up / 53.0% Dn,SELL Spot (Short),194.87,10.7,Fixed Pre-Auction Bid
Q30,2026-09-12 07:15,196.69,184.68,-12.01,97.15,218.31,€97.2 - €218.3,14.4% Up / 52.8% Dn,SELL Spot (Short),191.69,10.7,Fixed Pre-Auction Bid
Q31,2026-09-12 07:30,191.11,172.47,-18.64,91.62,218.23,€91.6 - €218.2,12.8% Up / 51.7% Dn,SELL Spot (Short),186.11,10.5,Fixed Pre-Auction Bid
Q32,2026-09-12 07:45,186.79,180.99,-5.8,88.09,235.88,€88.1 - €235.9,14.8% Up / 49.2% Dn,SELL Spot (Short),183.89,6.9,Fixed Pre-Auction Bid
Q33,2026-09-12 08:00,200.75,177.36,-23.39,92.49,229.91,€92.5 - €229.9,13.5% Up / 53.4% Dn,SELL Spot (Short),195.75,10.8,Fixed Pre-Auction Bid
Q34,2026-09-12 08:15,188.61,180.74,-7.87,89.87,234.24,€89.9 - €234.2,14.6% Up / 48.9% Dn,SELL Spot (Short),184.68,9.8,Fixed Pre-Auction Bid
Q35,2026-09-12 08:30,161.0,158.6,-2.4,75.1,225.71,€75.1 - €225.7,19.4% Up / 53.4% Dn,SELL Spot (Short),159.8,2.3,Fixed Pre-Auction Bid
Q36,2026-09-12 08:45,146.35,143.03,-3.32,59.95,187.7,€60.0 - €187.7,18.5% Up / 52.1% Dn,SELL Spot (Short),144.69,3.6,Fixed Pre-Auction Bid
Q37,2026-09-12 09:00,181.46,177.61,-3.85,46.17,297.34,€46.2 - €297.3,17.2% Up / 54.9% Dn,SELL Spot (Short),179.53,4.6,Fixed Pre-Auction Bid
Q38,2026-09-12 09:15,147.68,147.7,0.02,63.7,233.55,€63.7 - €233.6,18.6% Up / 51.9% Dn,HOLD (No Bid),147.68,0.0,Fixed Pre-Auction Bid
Q39,2026-09-12 09:30,133.38,136.42,3.04,52.58,203.65,€52.6 - €203.7,18.0% Up / 50.9% Dn,BUY Spot (Long),134.9,1.4,Fixed Pre-Auction Bid
Q40,2026-09-12 09:45,110.37,110.14,-0.23,27.37,199.72,€27.4 - €199.7,18.2% Up / 53.0% Dn,HOLD (No Bid),110.37,0.0,Fixed Pre-Auction Bid
Q41,2026-09-12 10:00,122.62,135.15,12.53,38.75,198.94,€38.8 - €198.9,17.1% Up / 61.6% Dn,BUY Spot (Long),127.62,3.8,Fixed Pre-Auction Bid
Q42,2026-09-12 10:15,105.6,105.18,-0.42,22.3,186.98,€22.3 - €187.0,20.8% Up / 48.9% Dn,HOLD (No Bid),105.6,0.0,Fixed Pre-Auction Bid
Q43,2026-09-12 10:30,84.79,83.62,-1.17,12.83,160.72,€12.8 - €160.7,20.0% Up / 46.1% Dn,HOLD (No Bid),84.79,0.0,Fixed Pre-Auction Bid
Q44,2026-09-12 10:45,46.95,58.1,11.15,1.1,142.2,€1.1 - €142.2,17.6% Up / 61.3% Dn,BUY Spot (Long),51.95,3.9,Fixed Pre-Auction Bid
Q45,2026-09-12 11:00,65.86,68.79,2.93,-3.58,168.66,€-3.6 - €168.7,15.3% Up / 54.3% Dn,BUY Spot (Long),67.33,1.3,Fixed Pre-Auction Bid
Q46,2026-09-12 11:15,44.61,47.15,2.54,-5.07,125.49,€-5.1 - €125.5,13.6% Up / 58.6% Dn,BUY Spot (Long),45.88,1.0,Fixed Pre-Auction Bid
Q47,2026-09-12 11:30,25.52,27.86,2.34,-14.18,108.23,€-14.2 - €108.2,15.0% Up / 65.5% Dn,BUY Spot (Long),26.69,1.0,Fixed Pre-Auction Bid
Q48,2026-09-12 11:45,26.42,26.0,-0.42,-13.82,104.3,€-13.8 - €104.3,19.7% Up / 50.2% Dn,HOLD (No Bid),26.42,0.0,Fixed Pre-Auction Bid
Q49,2026-09-12 12:00,32.04,33.79,1.75,-8.92,105.21,€-8.9 - €105.2,23.6% Up / 47.0% Dn,BUY Spot (Long),32.91,0.9,Fixed Pre-Auction Bid
Q50,2026-09-12 12:15,29.99,23.5,-6.49,-0.52,84.27,€-0.5 - €84.3,21.5% Up / 49.3% Dn,SELL Spot (Short),26.74,7.9,Fixed Pre-Auction Bid
Q51,2026-09-12 12:30,26.72,23.39,-3.33,-9.39,80.43,€-9.4 - €80.4,18.9% Up / 43.8% Dn,SELL Spot (Short),25.05,3.1,Fixed Pre-Auction Bid
Q52,2026-09-12 12:45,17.42,21.47,4.05,-7.0,91.93,€-7.0 - €91.9,22.5% Up / 45.7% Dn,BUY Spot (Long),19.45,2.3,Fixed Pre-Auction Bid
Q53,2026-09-12 13:00,31.0,31.87,0.87,-9.14,113.86,€-9.1 - €113.9,22.3% Up / 48.9% Dn,HOLD (No Bid),31.0,0.0,Fixed Pre-Auction Bid
Q54,2026-09-12 13:15,20.08,26.7,6.62,-7.6,96.52,€-7.6 - €96.5,23.6% Up / 47.2% Dn,BUY Spot (Long),23.39,4.1,Fixed Pre-Auction Bid
Q55,2026-09-12 13:30,17.36,23.46,6.1,-5.16,99.34,€-5.2 - €99.3,22.8% Up / 47.7% Dn,BUY Spot (Long),20.41,3.7,Fixed Pre-Auction Bid
Q56,2026-09-12 13:45,11.87,18.64,6.77,-9.47,81.06,€-9.5 - €81.1,23.4% Up / 47.1% Dn,BUY Spot (Long),15.25,4.2,Fixed Pre-Auction Bid
Q57,2026-09-12 14:00,21.94,26.58,4.64,-9.77,98.16,€-9.8 - €98.2,19.8% Up / 50.2% Dn,BUY Spot (Long),24.26,2.4,Fixed Pre-Auction Bid
Q58,2026-09-12 14:15,21.61,24.49,2.88,-14.02,96.5,€-14.0 - €96.5,19.1% Up / 53.7% Dn,BUY Spot (Long),23.05,1.4,Fixed Pre-Auction Bid
Q59,2026-09-12 14:30,20.08,24.06,3.98,-14.6,91.61,€-14.6 - €91.6,18.5% Up / 54.6% Dn,BUY Spot (Long),22.07,2.0,Fixed Pre-Auction Bid
Q60,2026-09-12 14:45,20.07,19.95,-0.12,-15.68,99.23,€-15.7 - €99.2,18.5% Up / 56.4% Dn,HOLD (No Bid),20.07,0.0,Fixed Pre-Auction Bid
Q61,2026-09-12 15:00,27.21,25.28,-1.93,-14.95,104.48,€-14.9 - €104.5,16.4% Up / 54.6% Dn,SELL Spot (Short),26.25,1.6,Fixed Pre-Auction Bid
Q62,2026-09-12 15:15,25.07,25.61,0.54,-20.16,97.13,€-20.2 - €97.1,15.8% Up / 55.3% Dn,HOLD (No Bid),25.07,0.0,Fixed Pre-Auction Bid
Q63,2026-09-12 15:30,32.94,34.62,1.68,-7.66,163.13,€-7.7 - €163.1,17.1% Up / 55.6% Dn,BUY Spot (Long),33.78,0.7,Fixed Pre-Auction Bid
Q64,2026-09-12 15:45,35.46,33.59,-1.87,-1.9,180.05,€-1.9 - €180.1,16.1% Up / 57.3% Dn,SELL Spot (Short),34.52,1.6,Fixed Pre-Auction Bid
Q65,2026-09-12 16:00,24.82,32.87,8.05,-14.65,108.09,€-14.7 - €108.1,17.7% Up / 51.2% Dn,BUY Spot (Long),28.84,3.9,Fixed Pre-Auction Bid
Q66,2026-09-12 16:15,28.33,35.46,7.13,-4.53,128.49,€-4.5 - €128.5,17.4% Up / 52.8% Dn,BUY Spot (Long),31.89,3.4,Fixed Pre-Auction Bid
Q67,2026-09-12 16:30,46.18,61.85,15.67,10.0,202.8,€10.0 - €202.8,26.4% Up / 43.4% Dn,BUY Spot (Long),51.18,5.6,Fixed Pre-Auction Bid
Q68,2026-09-12 16:45,90.02,98.3,8.28,3.53,225.9,€3.5 - €225.9,25.0% Up / 42.5% Dn,BUY Spot (Long),94.16,5.3,Fixed Pre-Auction Bid
Q69,2026-09-12 17:00,82.88,102.05,19.17,5.17,197.28,€5.2 - €197.3,24.9% Up / 42.4% Dn,BUY Spot (Long),87.88,5.3,Fixed Pre-Auction Bid
Q70,2026-09-12 17:15,115.28,159.34,44.06,-3.09,330.14,€-3.1 - €330.1,25.1% Up / 45.0% Dn,BUY Spot (Long),120.28,5.4,Fixed Pre-Auction Bid
Q71,2026-09-12 17:30,128.92,136.42,7.5,4.39,250.12,€4.4 - €250.1,24.5% Up / 44.6% Dn,BUY Spot (Long),132.67,4.9,Fixed Pre-Auction Bid
Q72,2026-09-12 17:45,153.15,145.64,-7.51,14.04,249.63,€14.0 - €249.6,25.0% Up / 46.1% Dn,SELL Spot (Short),149.4,8.8,Fixed Pre-Auction Bid
Q73,2026-09-12 18:00,147.36,144.98,-2.38,9.14,235.81,€9.1 - €235.8,23.3% Up / 45.9% Dn,SELL Spot (Short),146.17,2.0,Fixed Pre-Auction Bid
Q74,2026-09-12 18:15,181.59,185.21,3.62,33.53,288.25,€33.5 - €288.2,31.9% Up / 43.2% Dn,BUY Spot (Long),183.4,2.7,Fixed Pre-Auction Bid
Q75,2026-09-12 18:30,192.89,187.02,-5.87,36.7,398.32,€36.7 - €398.3,27.2% Up / 46.0% Dn,SELL Spot (Short),189.95,6.6,Fixed Pre-Auction Bid
Q76,2026-09-12 18:45,195.28,186.44,-8.84,43.87,318.87,€43.9 - €318.9,22.5% Up / 45.7% Dn,SELL Spot (Short),190.86,9.3,Fixed Pre-Auction Bid
