quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,predicted_direction,agent_action,status
Q1 (+15m),2026-08-30 00:00,2026-08-29 22:00,139.58,140.58,141.95,137.41,138.0,140.6,139.97,1044.16,BALANCED (0),HOLD,⏳ Pending Settlement
Q2 (+30m),2026-08-30 00:15,2026-08-29 22:15,134.95,135.34,136.7,136.27,138.25,133.12,136.37,1017.34,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q3 (+45m),2026-08-30 00:30,2026-08-29 22:30,127.61,128.99,131.56,128.67,130.27,128.28,129.89,968.96,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q4 (+60m),2026-08-30 00:45,2026-08-29 22:45,116.93,120.29,122.27,116.38,118.07,117.55,119.77,893.47,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q5 (+75m),2026-08-30 01:00,2026-08-29 23:00,116.31,121.87,122.47,116.45,119.3,119.15,120.58,899.53,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q6 (+90m),2026-08-30 01:15,2026-08-29 23:15,113.88,120.03,120.18,120.82,118.96,113.68,120.07,895.73,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q7 (+105m),2026-08-30 01:30,2026-08-29 23:30,109.95,115.71,116.62,114.21,114.44,114.54,115.49,861.56,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q8 (+120m),2026-08-30 01:45,2026-08-29 23:45,107.02,110.43,113.85,113.6,112.44,106.1,112.39,838.46,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q9 (+135m),2026-08-30 02:00,2026-08-30 00:00,106.89,112.46,115.59,110.89,109.71,112.8,112.67,840.54,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q10 (+150m),2026-08-30 02:15,2026-08-30 00:15,101.38,107.24,110.79,111.55,107.89,113.7,109.27,815.12,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q11 (+165m),2026-08-30 02:30,2026-08-30 00:30,99.51,107.76,107.89,105.91,108.02,104.92,107.47,801.7,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q12 (+180m),2026-08-30 02:45,2026-08-30 00:45,91.01,100.21,101.82,97.98,100.63,98.2,100.31,748.31,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q13 (+195m),2026-08-30 03:00,2026-08-30 01:00,96.8,110.29,108.61,102.16,103.78,104.05,107.18,799.59,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q14 (+210m),2026-08-30 03:15,2026-08-30 01:15,91.03,104.45,103.14,98.54,97.72,99.93,101.86,759.91,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q15 (+225m),2026-08-30 03:30,2026-08-30 01:30,90.32,99.67,100.66,99.73,100.76,96.3,100.14,747.07,UP (+1),BUY Spot (Long),⏳ Pending Settlement
Q16 (+240m),2026-08-30 03:45,2026-08-30 01:45,91.68,102.67,105.61,100.8,97.46,102.87,102.4,763.88,UP (+1),BUY Spot (Long),⏳ Pending Settlement
