quarter,time_dk,time_utc,spot_price_eur,deep_bilstm_eur,transformer_tft_eur,transfer_lgb_eur,hierarchical_eur,pure15m_catboost_eur,meta_ensemble_eur,meta_ensemble_dkk,actual_settled_imbalance_eur,predicted_direction,agent_action,status
Q1 (+15m),2026-09-07 00:00,2026-09-06 22:00,169.58,169.14,168.77,236.72,305.24,274.27,229.76,1713.98,€ 100.42,UP (+1),BUY Spot (Long),✅ Settled
Q2 (+30m),2026-09-07 00:15,2026-09-06 22:15,156.31,156.14,155.63,147.51,138.68,157.07,151.12,1127.32,€ 120.75,DOWN (-1),SELL Spot (Short),✅ Settled
Q3 (+45m),2026-09-07 00:30,2026-09-06 22:30,149.41,149.49,148.74,141.86,145.33,149.82,147.07,1097.17,€ 149.41,DOWN (-1),SELL Spot (Short),✅ Settled
Q4 (+60m),2026-09-07 00:45,2026-09-06 22:45,146.41,145.76,145.74,138.86,132.18,147.81,142.16,1060.48,€ 374.60,DOWN (-1),SELL Spot (Short),✅ Settled
Q5 (+75m),2026-09-07 01:00,2026-09-06 23:00,156.04,155.2,155.38,143.76,162.68,147.04,152.78,1139.76,€ 156.04,DOWN (-1),SELL Spot (Short),✅ Settled
Q6 (+90m),2026-09-07 01:15,2026-09-06 23:15,149.86,149.85,149.24,141.04,144.08,148.43,146.57,1093.38,€ 120.33,DOWN (-1),SELL Spot (Short),✅ Settled
Q7 (+105m),2026-09-07 01:30,2026-09-06 23:30,149.15,148.57,148.46,140.71,145.13,150.61,146.71,1094.49,€ 149.15,DOWN (-1),SELL Spot (Short),✅ Settled
Q8 (+120m),2026-09-07 01:45,2026-09-06 23:45,146.47,145.99,145.8,138.03,144.0,148.4,144.45,1077.6,€ 146.47,DOWN (-1),SELL Spot (Short),✅ Settled
Q9 (+135m),2026-09-07 02:00,2026-09-07 00:00,148.62,148.08,148.17,147.82,150.65,164.7,151.84,1132.72,€ 133.27,UP (+1),BUY Spot (Long),✅ Settled
Q10 (+150m),2026-09-07 02:15,2026-09-07 00:15,148.8,148.74,148.32,149.63,151.36,167.33,153.02,1141.55,€ 87.33,UP (+1),BUY Spot (Long),✅ Settled
Q11 (+165m),2026-09-07 02:30,2026-09-07 00:30,148.18,148.07,147.69,177.01,153.09,167.91,158.68,1183.73,€ 148.18,UP (+1),BUY Spot (Long),✅ Settled
Q12 (+180m),2026-09-07 02:45,2026-09-07 00:45,146.46,145.62,145.97,175.29,151.37,166.84,156.94,1170.74,€ 146.46,UP (+1),BUY Spot (Long),✅ Settled
Q13 (+195m),2026-09-07 03:00,2026-09-07 01:00,149.97,149.56,149.45,169.56,146.08,163.02,155.53,1160.23,€ 123.21,UP (+1),BUY Spot (Long),✅ Settled
Q14 (+210m),2026-09-07 03:15,2026-09-07 01:15,146.99,146.3,146.49,172.94,150.82,168.33,156.9,1170.47,€ 123.15,UP (+1),BUY Spot (Long),✅ Settled
Q15 (+225m),2026-09-07 03:30,2026-09-07 01:30,146.8,145.85,146.29,172.75,146.89,164.62,155.23,1158.04,€ 146.80,UP (+1),BUY Spot (Long),✅ Settled
Q16 (+240m),2026-09-07 03:45,2026-09-07 01:45,147.27,146.65,146.74,169.65,144.56,159.81,153.46,1144.84,€ 147.27,UP (+1),BUY Spot (Long),✅ Settled
Q17 (+255m),2026-09-07 04:00,2026-09-07 02:00,147.48,146.67,146.95,170.18,140.36,160.95,153.03,1141.6,€ 147.48,UP (+1),BUY Spot (Long),✅ Settled
Q18 (+270m),2026-09-07 04:15,2026-09-07 02:15,149.33,149.16,148.77,170.18,142.18,159.09,153.89,1148.05,€ 149.33,UP (+1),BUY Spot (Long),✅ Settled
Q19 (+285m),2026-09-07 04:30,2026-09-07 02:30,150.65,150.58,150.07,170.24,141.34,155.45,153.58,1145.69,€ 123.66,UP (+1),BUY Spot (Long),✅ Settled
Q20 (+300m),2026-09-07 04:45,2026-09-07 02:45,158.1,157.63,157.46,176.11,153.09,162.98,161.47,1204.55,€ 134.62,UP (+1),BUY Spot (Long),✅ Settled
Q21 (+315m),2026-09-07 05:00,2026-09-07 03:00,157.18,156.71,156.54,147.95,149.73,164.68,155.15,1157.44,€ 157.18,DOWN (-1),SELL Spot (Short),✅ Settled
Q22 (+330m),2026-09-07 05:15,2026-09-07 03:15,164.41,164.0,163.72,160.61,154.65,163.59,161.37,1203.84,€ 164.41,DOWN (-1),SELL Spot (Short),✅ Settled
Q23 (+345m),2026-09-07 05:30,2026-09-07 03:30,178.79,178.37,178.04,176.37,153.95,177.04,172.91,1289.92,€ 126.30,DOWN (-1),SELL Spot (Short),✅ Settled
