quarter_utc,batch_start_utc,as_of_trade,label_known_at,spread,exp_spread,p_up,p_down,p_flat,q10,q50,q90,last_spread,spread_qod_mean7,fast_satisfied_demand_mw,fast_dominating_direction,action,mwh,edge,reason,mwh_raw,gross_eur,cost_eur,net_eur,net_raw_eur,area
2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-01 23:00:00,2025-07-02 00:45:00,198.22999999999996,118.93196001164425,0.5167841485512945,0.2870204845017413,0.1961953669469642,-77.47792117302535,3.1530888408609385,174.4379379034564,0.0,-19.594285714285714,0.0,0.0,BUY,0.8,116.58196001164426,edge 116.6 EUR/MWh,0.8,158.58399999999997,1.88,156.70399999999998,156.70399999999998,DK2
2025-07-02 00:15:00,2025-07-02 00:15:00,2025-07-01 23:15:00,2025-07-02 01:00:00,0.0,142.23028677499968,0.4927014980966338,0.2703267044579408,0.23697179744542535,-77.09452359409966,4.886772952894661,148.71239668010588,0.0,-10.72142857142857,0.0,0.0,BUY,0.8,139.8802867749997,edge 139.9 EUR/MWh,0.8,0.0,1.88,-1.88,-1.88,DK2
2025-07-02 00:30:00,2025-07-02 00:30:00,2025-07-01 23:30:00,2025-07-02 01:15:00,235.83999999999997,128.34275789385805,0.5015725947711989,0.276834139573106,0.22159326565569518,-76.82145645731755,5.059820591907399,159.7113978522868,0.0,-22.187142857142856,-38.0,-1.0,BUY,0.8,125.99275789385806,edge 126.0 EUR/MWh,0.8,188.672,1.88,186.792,186.792,DK2
2025-07-02 00:45:00,2025-07-02 00:45:00,2025-07-01 23:45:00,2025-07-02 01:30:00,0.0,93.14100417953541,0.4988334511901283,0.3179599868116529,0.18320656199821897,-79.09091470232119,2.756605681484836,161.03656848778238,-51.63,-9.705714285714283,-30.0,-1.0,BUY,0.8,90.79100417953542,edge 90.8 EUR/MWh,0.8,0.0,1.88,-1.88,-1.88,DK2
2025-07-02 01:00:00,2025-07-02 01:00:00,2025-07-02 00:00:00,2025-07-02 01:45:00,237.21000000000004,132.80297877004637,0.488705638787912,0.3238361256421175,0.18745823556997052,-77.47553527768225,3.1829026062147143,174.77205908396655,-51.63,4.3842857142857135,0.0,0.0,BUY,0.8,130.45297877004637,edge 130.5 EUR/MWh,0.8,189.76800000000003,1.88,187.88800000000003,187.88800000000003,DK2
2025-07-02 01:15:00,2025-07-02 01:15:00,2025-07-02 00:15:00,2025-07-02 02:00:00,96.45,98.84027058473285,0.4504559397253563,0.3518055765517529,0.19773848372289082,-79.17025443211351,0.060257153184029986,120.16989858760736,0.0,-3.204285714285714,0.0,0.0,BUY,0.8,96.49027058473285,edge 96.5 EUR/MWh,0.8,77.16000000000001,1.88,75.28000000000002,75.28000000000002,DK2
2025-07-02 01:30:00,2025-07-02 01:30:00,2025-07-02 00:30:00,2025-07-02 02:15:00,-47.23,76.66778565364868,0.3970059680169848,0.36303421176135187,0.23995982022166334,-80.98282681393805,-0.5975887111204716,66.93755444090445,0.0,55.782857142857154,55.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 01:45:00,2025-07-02 01:45:00,2025-07-02 00:45:00,2025-07-02 02:30:00,-40.989999999999995,49.6564661484662,0.39440896736216885,0.37653832241860236,0.22905271021922877,-82.77988340643108,-0.5443105440328531,30.795057103100714,198.22999999999996,38.09000000000001,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 02:00:00,2025-07-02 02:00:00,2025-07-02 01:00:00,2025-07-02 02:45:00,243.39000000000004,10.558310036700625,0.26668627401534994,0.4977646866521471,0.23554903933250293,-84.74002134552573,-4.985774412059714,71.9734280231847,0.0,15.554285714285713,57.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 02:15:00,2025-07-02 02:15:00,2025-07-02 01:15:00,2025-07-02 03:00:00,0.0,-5.27624746620551,0.21711053958257853,0.623128495363159,0.15976096505426243,-84.13194997426798,-5.399058442748052,44.53517119859405,235.83999999999997,12.468571428571428,44.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
