quarter_utc,batch_start_utc,as_of_trade,label_known_at,spread,exp_spread,p_up,p_down,p_flat,q10,q50,q90,last_spread,spread_qod_mean7,fast_satisfied_demand_mw,fast_dominating_direction,action,mwh,edge,reason,mwh_raw,gross_eur,cost_eur,net_eur,net_raw_eur,area
2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-01 23:00:00,2025-07-02 00:45:00,198.22999999999996,77.58665208387926,0.45767799620844046,0.38189677715651504,0.16042522663504455,-84.01011105498114,-15.048307317378205,288.813010198731,0.0,-19.594285714285714,0.0,0.0,BUY,0.8,75.23665208387926,edge 75.2 EUR/MWh,0.8,158.58399999999997,1.88,156.70399999999998,156.70399999999998,DK2
2025-07-02 00:15:00,2025-07-02 00:15:00,2025-07-01 23:15:00,2025-07-02 01:00:00,0.0,75.8951344608228,0.4186827574293774,0.37902060089444867,0.20229664167617395,-84.2977180307603,-7.958812565225771,216.46953840391524,0.0,-10.72142857142857,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 00:30:00,2025-07-02 00:30:00,2025-07-01 23:30:00,2025-07-02 01:15:00,235.83999999999997,50.04929028660943,0.37977252175596643,0.41027448119580623,0.20995299704822729,-84.27047941547009,-11.59749805741845,194.214079546434,0.0,-22.187142857142856,-38.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 00:45:00,2025-07-02 00:45:00,2025-07-01 23:45:00,2025-07-02 01:30:00,0.0,27.091731686160042,0.35085606338443726,0.44696653345420795,0.20217740316135474,-86.4670290918708,-17.078126905922183,157.71738674747758,-51.63,-9.705714285714283,-30.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 01:00:00,2025-07-02 01:00:00,2025-07-02 00:00:00,2025-07-02 01:45:00,237.21000000000004,36.65163804035045,0.30477627019656633,0.48252692839922534,0.21269680140420835,-85.95607879893994,-9.73123699709522,164.83115797554797,-51.63,4.3842857142857135,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 01:15:00,2025-07-02 01:15:00,2025-07-02 00:15:00,2025-07-02 02:00:00,96.45,9.847397585918822,0.25750007124790136,0.5301913330245795,0.21230859572751906,-86.31455114605912,-16.89611292220976,143.7593802574627,0.0,-3.204285714285714,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 01:30:00,2025-07-02 01:30:00,2025-07-02 00:30:00,2025-07-02 02:15:00,-47.23,6.1064059574625515,0.23536598861556338,0.46730678051156616,0.2973272308728705,-87.30646855660704,-17.710037856174036,84.90476741116524,0.0,55.782857142857154,55.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 01:45:00,2025-07-02 01:45:00,2025-07-02 00:45:00,2025-07-02 02:30:00,-40.989999999999995,-10.373272699369254,0.19709480200808918,0.5328446487822494,0.2700605492096614,-89.77243592828007,-23.379065049099673,42.55375913525626,198.22999999999996,38.09000000000001,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 02:00:00,2025-07-02 02:00:00,2025-07-02 01:00:00,2025-07-02 02:45:00,243.39000000000004,-23.981554444672145,0.1562256558488721,0.5979940786432423,0.24578026550788562,-88.08023001765773,-36.13412141369242,24.568999293880445,0.0,15.554285714285713,57.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 02:15:00,2025-07-02 02:15:00,2025-07-02 01:15:00,2025-07-02 03:00:00,0.0,-26.53109523453475,0.13919705611355984,0.6507516454843628,0.21005129840207742,-88.84407584657671,-41.63070077967145,9.060734878130054,235.83999999999997,12.468571428571428,44.0,1.0,SELL,0.3,24.18109523453475,edge 24.2 EUR/MWh,0.3,-0.0,0.7049999999999998,-0.7049999999999998,-0.7049999999999998,DK2
2025-07-02 02:30:00,2025-07-02 02:30:00,2025-07-02 01:30:00,2025-07-02 03:15:00,176.29000000000002,-6.81055742617913,0.1999916540683211,0.5474364409303246,0.25257190500135435,-86.09076513121649,-38.36165263108242,52.56689654270331,0.0,13.565714285714282,60.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 02:45:00,2025-07-02 02:45:00,2025-07-02 01:45:00,2025-07-02 03:30:00,0.0,-2.4613153013987326,0.19914524583415807,0.4727416598050164,0.32811309436082553,-85.62411187003804,-27.10534603816331,157.34352093097428,237.21000000000004,7.547142857142857,31.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 03:00:00,2025-07-02 03:00:00,2025-07-02 02:00:00,2025-07-02 03:45:00,-68.53,-19.57200712900089,0.1664503292135665,0.5781745689694006,0.25537510181703293,-94.9885652342638,-40.074613353428255,65.66299788852639,96.45,-11.154285714285715,-26.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 03:15:00,2025-07-02 03:15:00,2025-07-02 02:15:00,2025-07-02 04:00:00,-82.71,1.0189485798133953,0.20974566799046945,0.5328352292130131,0.2574191027965175,-93.84502041186698,-30.237913829528317,98.47068660978555,-47.23,-9.54857142857143,-34.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 03:30:00,2025-07-02 03:30:00,2025-07-02 02:30:00,2025-07-02 04:15:00,-72.4,-13.999176866443843,0.1660068779913494,0.6037288958396027,0.23026422616904807,-90.40269405996656,-27.829270941462358,100.58196566881871,-40.989999999999995,17.689999999999998,45.0,1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 03:45:00,2025-07-02 03:45:00,2025-07-02 02:45:00,2025-07-02 04:30:00,-73.94999999999999,28.55685184645575,0.2719988445656215,0.5063253419994697,0.22167581343490877,-89.82781165333516,-18.972664699091055,139.98620744036185,243.39000000000004,40.434285714285714,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 04:00:00,2025-07-02 04:00:00,2025-07-02 03:00:00,2025-07-02 04:45:00,-127.65,-40.72310823663541,0.16610194322740524,0.6727378092713333,0.1611602475012615,-115.71584400064475,-39.60414578628297,40.80277897838938,0.0,-50.12857142857143,39.0,1.0,SELL,0.3,38.37310823663541,edge 38.4 EUR/MWh,0.3,38.295,0.7049999999999998,37.59,37.59,DK2
2025-07-02 04:15:00,2025-07-02 04:15:00,2025-07-02 03:15:00,2025-07-02 05:00:00,-115.93,-40.49616590218113,0.1981274523273693,0.5889455095303279,0.21292703814230293,-116.83130661751342,-32.55877922110785,64.33740466227229,176.29000000000002,-36.611428571428576,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 04:30:00,2025-07-02 04:30:00,2025-07-02 03:30:00,2025-07-02 05:15:00,-96.97,-36.31292766964092,0.16955222573172438,0.5985323688712351,0.2319154053970406,-110.55255591707497,-38.15290816983041,67.35065147818672,0.0,28.63428571428572,-128.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 04:45:00,2025-07-02 04:45:00,2025-07-02 03:45:00,2025-07-02 05:30:00,-74.35000000000001,-25.63482017951625,0.14246769957317104,0.5301469828756522,0.32738531755117684,-116.3623989490707,-36.65620073312008,54.79456472833052,-68.53,22.86571428571429,-146.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 05:00:00,2025-07-02 05:00:00,2025-07-02 04:00:00,2025-07-02 05:45:00,-105.06,-11.305171244308978,0.15977610432513942,0.5842757072845313,0.2559481883903294,-103.07301109187318,-30.01268926953063,144.36697541002283,-82.71,43.35285714285713,-213.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 05:15:00,2025-07-02 05:15:00,2025-07-02 04:15:00,2025-07-02 06:00:00,-95.3,-23.16585752870421,0.15577572004308582,0.5726301451854242,0.2715941347714901,-102.21676351553901,-26.031828378947463,99.97306170320009,-72.4,38.970000000000006,-235.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 05:30:00,2025-07-02 05:30:00,2025-07-02 04:30:00,2025-07-02 06:15:00,-61.300000000000004,-3.2114348670723376,0.18790891817911698,0.4638863663338661,0.348204715487017,-105.78033721061195,-29.176033285341468,107.19537524050006,-73.94999999999999,93.63142857142857,-268.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 05:45:00,2025-07-02 05:45:00,2025-07-02 04:45:00,2025-07-02 06:30:00,-59.120000000000005,-2.179487581927853,0.22234136934313725,0.4774074795796738,0.300251151077189,-101.96352366211397,-26.855429018325523,99.66938216955349,-127.65,53.45857142857143,-280.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 06:00:00,2025-07-02 06:00:00,2025-07-02 05:00:00,2025-07-02 06:45:00,0.0,33.5985508683681,0.26922054216470065,0.49793578471833244,0.23284367311696694,-95.50122467789895,-18.913798621987695,163.5182744379614,-115.93,32.402857142857144,-221.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 06:15:00,2025-07-02 06:15:00,2025-07-02 05:15:00,2025-07-02 07:00:00,0.0,13.530655512621113,0.24366318490240907,0.4955818665468607,0.26075494855073034,-94.96663953010071,-15.941498730896809,199.81409479910707,-96.97,-8.948571428571428,-182.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 06:30:00,2025-07-02 06:30:00,2025-07-02 05:30:00,2025-07-02 07:15:00,144.76,-5.198444480385236,0.2094179628548381,0.6171565668690892,0.1734254702760727,-92.43814914279751,-24.019545741233532,165.5310819258065,-74.35000000000001,19.83714285714285,-157.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,0.0,0.0,0.0,0.0,DK2
2025-07-02 06:45:00,2025-07-02 06:45:00,2025-07-02 05:45:00,2025-07-02 07:30:00,11.310000000000002,-40.287304393130746,0.131996651236065,0.6511468840680185,0.21685646469591652,-93.5689586061534,-28.197959570184157,107.84917487713244,-105.06,-2.4785714285714344,-187.0,-1.0,SELL,0.3,37.937304393130745,edge 37.9 EUR/MWh,0.3,-3.3930000000000007,0.7049999999999998,-4.098000000000001,-4.098000000000001,DK2
2025-07-02 07:00:00,2025-07-02 07:00:00,2025-07-02 06:00:00,2025-07-02 07:45:00,-68.34,-3.9875729192054177,0.22097373547823282,0.6229762528735845,0.15605001164818272,-84.96473474098592,-30.709321056831424,183.44323776683586,-95.3,-21.165714285714284,-75.0,-1.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 07:15:00,2025-07-02 07:15:00,2025-07-02 06:15:00,2025-07-02 08:00:00,-39.46999999999999,-23.672165430975124,0.1513252670810954,0.6969060651697373,0.15176866774916736,-86.50117086509204,-45.248601070387274,72.7814853024744,-61.300000000000004,-38.23428571428571,-87.0,-1.0,SELL,0.3,21.322165430975126,edge 21.3 EUR/MWh,0.3,11.840999999999998,0.7049999999999998,11.135999999999997,11.135999999999997,DK2
2025-07-02 07:30:00,2025-07-02 07:30:00,2025-07-02 06:30:00,2025-07-02 08:15:00,-56.49999999999999,-25.851959274916737,0.2108807352838139,0.6208659047364197,0.1682533599797665,-87.61974138891745,-46.870248133985356,82.05835074989477,-59.120000000000005,-34.26714285714286,0.0,0.0,HOLD,0.0,0.0,edge below threshold,0.0,-0.0,0.0,-0.0,-0.0,DK2
2025-07-02 07:45:00,2025-07-02 07:45:00,2025-07-02 06:45:00,2025-07-02 08:30:00,-66.03999999999999,-38.47793253864113,0.10122510136854689,0.7206613752101201,0.17811352342133305,-85.60650291386418,-49.4132913601043,77.31946327185764,0.0,-51.90428571428572,0.0,0.0,SELL,0.3,36.127932538641126,edge 36.1 EUR/MWh,0.3,19.811999999999998,0.7049999999999998,19.107,19.107,DK2
2025-07-02 08:00:00,2025-07-02 08:00:00,2025-07-02 07:00:00,2025-07-02 08:45:00,0.0,-34.82669403621113,0.09261554158565398,0.7965751468562278,0.11080931155811817,-80.33458533989038,-45.7079557322789,91.53964401388016,0.0,-14.12142857142857,74.0,1.0,SELL,0.3,32.47669403621113,edge 32.5 EUR/MWh,0.3,-0.0,0.7049999999999998,-0.7049999999999998,-0.7049999999999998,DK2
2025-07-02 08:15:00,2025-07-02 08:15:00,2025-07-02 07:15:00,2025-07-02 09:00:00,-29.810000000000002,-43.65342613407383,0.07101244362374969,0.8193820857693469,0.10960547060690348,-84.04998671250475,-52.88002676264279,31.074043173411887,144.76,59.64,93.0,1.0,SELL,0.3,41.30342613407383,edge 41.3 EUR/MWh,0.3,8.943,0.7049999999999998,8.238,8.238,DK2
2025-07-02 08:30:00,2025-07-02 08:30:00,2025-07-02 07:30:00,2025-07-02 09:15:00,0.0,-34.056461995306115,0.0973925017631034,0.7713690718251868,0.13123842641170977,-84.57524334805457,-54.4181896053731,37.99947718949614,11.310000000000002,40.839999999999996,-118.0,-1.0,SELL,0.3,31.706461995306114,edge 31.7 EUR/MWh,0.3,-0.0,0.7049999999999998,-0.7049999999999998,-0.7049999999999998,DK2
